,NTACode,yearMonth,citibike_arrivals
708,MN20,201702,48452
709,MN20,201703,46130
710,MN20,201704,68522
711,MN20,201705,81789
712,MN20,201706,88944
713,MN20,201707,84135
714,MN20,201708,185360
715,MN20,201709,93892
716,MN20,201710,95673
717,MN20,201711,73148
718,MN20,201712,50774
719,MN20,201801,41219
720,MN20,201802,47833
721,MN20,201803,52940
722,MN21,201601,11985
723,MN21,201602,13789
724,MN21,201603,20817
725,MN21,201604,20846
726,MN21,201605,25120
727,MN21,201606,26193
728,MN21,201607,24517
729,MN21,201608,28857
730,MN21,201609,35876
731,MN21,201610,29586
732,MN21,201611,19828
733,MN21,201612,13800
734,MN21,201701,14355
735,MN21,201702,15485
736,MN21,201703,14770
737,MN21,201704,22913
738,MN21,201705,27888
739,MN21,201706,29460
740,MN21,201707,28669
741,MN21,201708,61985
742,MN21,201709,33777
743,MN21,201710,34631
744,MN21,201711,25678
745,MN21,201712,17349
746,MN21,201801,13410
747,MN21,201802,16055
748,MN21,201803,17353
749,MN22,201601,26121
750,MN22,201602,29064
751,MN22,201603,44917
752,MN22,201604,48304
753,MN22,201605,55602
754,MN22,201606,64202
755,MN22,201607,68119
756,MN22,201608,70751
757,MN22,201609,74817
758,MN22,201610,73181
759,MN22,201611,57043
760,MN22,201612,38557
761,MN22,201701,34555
762,MN22,201702,38423
763,MN22,201703,34505
764,MN22,201704,57859
765,MN22,201705,65897
766,MN22,201706,73681
767,MN22,201707,77302
768,MN22,201708,159094
769,MN22,201709,82933
770,MN22,201710,80842
771,MN22,201711,56064
772,MN22,201712,37137
773,MN22,201801,31341
774,MN22,201802,36977
775,MN22,201803,44436
776,MN23,201601,54660
777,MN23,201602,61629
778,MN23,201603,101129
779,MN23,201604,110588
780,MN23,201605,128792
781,MN23,201606,152050
782,MN23,201607,135210
783,MN23,201608,144600
784,MN23,201609,153944
785,MN23,201610,143512
786,MN23,201611,104280
787,MN23,201612,72124
788,MN23,201701,64108
789,MN23,201702,73633
790,MN23,201703,67752
791,MN23,201704,120304
792,MN23,201705,134276
793,MN23,201706,149764
794,MN23,201707,148325
795,MN23,201708,313927
796,MN23,201709,171030
797,MN23,201710,170646
798,MN23,201711,118786
799,MN23,201712,75775
800,MN23,201801,60535
801,MN23,201802,73900
802,MN23,201803,83758
803,MN24,201601,39987
804,MN24,201602,43564
805,MN24,201603,75327
806,MN24,201604,82966
807,MN24,201605,101781
808,MN24,201606,124303
809,MN24,201607,115716
810,MN24,201608,126310
811,MN24,201609,128583
812,MN24,201610,116303
813,MN24,201611,83640
814,MN24,201612,55589
815,MN24,201701,48785
816,MN24,201702,54647
817,MN24,201703,48136
818,MN24,201704,92993
819,MN24,201705,109537
820,MN24,201706,125318
821,MN24,201707,125948
822,MN24,201708,272938
823,MN24,201709,134990
824,MN24,201710,131028
825,MN24,201711,84060
826,MN24,201712,53617
827,MN24,201801,42375
828,MN24,201802,52613
829,MN24,201803,59651
830,MN25,201601,24831
831,MN25,201602,28210
832,MN25,201603,51766
833,MN25,201604,59045
834,MN25,201605,75563
